,job_title,company_name,job_type,work_mode
0,Data Entry Clerk,"London, United Kingdom",Part Time,Remote
1,Data Analytics Engineer,"Maadi, Cairo, Egypt",Full Time,On-site
2,Data Analyst,"Sheraton, Cairo, Egypt",Full Time,On-site
3,Data Analyst,"New Cairo, Cairo, Egypt",Full Time,On-site
4,Financial Data Entry / Junior Accountant,"New Cairo, Cairo, Egypt",Full Time,Remote
5,Microsoft Fabrics and power bi data analyst Associate,"Riyadh, Saudi Arabia",Internship,Remote
6,Senior Data Engineer,"Maadi, Cairo, Egypt",Full Time,On-site
7,Data Entry Clerk,"Nasr City, Cairo, Egypt",Internship,On-site
8,Data Entry Specialist (E-commerce & AI Proficient),"Abdeen, Cairo, Egypt",Full Time,On-site
9,Data & BI Engineering Technical lead,"Maadi, Cairo, Egypt",Full Time,Hybrid
10,Telesales – Data Verification Executive,"Nasr City, Cairo, Egypt",Full Time,On-site
11,Hotel Data Loading - Officer,"Mohandessin, Giza, Egypt",Full Time,On-site
12,Data Analyst ( Experience in Production Department),"Obour City, Cairo, Egypt",Full Time,On-site
13,Extraction Data Engineer,"6th of October, Giza, Egypt",Full Time,Hybrid
14,Data Science And Machine Learning Instructor,"Nasr City, Cairo, Egypt",Full Time,Hybrid
15,Data Analysis Instructor (Excel / Power BI),"Nasr City, Cairo, Egypt",Full Time,Hybrid
16,Data Center Specialist,"Sheraton, Cairo, Egypt",Full Time,On-site
17,Financial Data Entry / Junior Accountant,"Heliopolis, Cairo, Egypt",Full Time,On-site
18,Data Analyst,"Tora, Cairo, Egypt",Full Time,On-site
19,Data Analyst Engineer,"Heliopolis, Cairo, Egypt",Full Time,On-site
20,Data analysis instructor / Consultant,"Abbassia, Cairo, Egypt",Full Time,On-site
21,Senior Manager - Data Analytics,"Nasr City, Cairo, Egypt",Full Time,On-site
22,Senior Data Analyst,"New Cairo, Cairo, Egypt",Full Time,On-site
23,Data Entry,"Nasr City, Cairo, Egypt",Full Time,On-site
24,Data Analyst,"Cairo, Egypt",Full Time,On-site
25,Data Entry Specialist,"6th of October, Giza, Egypt",Full Time,On-site
26,Production Data Entry Clerk,"Nasr City, Cairo, Egypt",Full Time,On-site
27,Data Entry and Archive Specialist,"Nasr City, Cairo, Egypt",Full Time,On-site
28,Data Entry - Night Shift\On-site,"Nasr City, Cairo, Egypt",Full Time,On-site
29,Senior Data Analyst,"New Cairo, Cairo, Egypt",Full Time,On-site
30,Data Analyst,"Nasr City, Cairo, Egypt",Full Time,On-site
31,Data Entry Clerk,"Cairo, Egypt",Full Time,On-site
32,Data Entry Clerk,"10th of Ramadan City, Sharqia, Egypt",Full Time,On-site
33,Data Entry Specialist,"Cairo, Egypt",Full Time,On-site
34,Data Entry Clerk,"Shubra, Cairo, Egypt",Full Time,Remote
35,Data Entry Specialist,"6th of October, Giza, Egypt",Full Time,On-site
36,Senior Data Analyst,"Agouza, Giza, Egypt",Full Time,On-site
37,Data Engineer,"New Damietta, Damietta, Egypt",Full Time,Remote
38,Big Data Engineer,"6th of October, Giza, Egypt",Full Time,Hybrid
39,Data Scientist,"Cairo, Egypt",Full Time,Remote
40,Data Entry Clerk,"Sharm Alsheikh, South Sinai, Egypt",Full Time,On-site
41,Data Entry & Sourcing Specialist (Hotel / Supplier Sourcing – Dynamic & Static),"Heliopolis, Cairo, Egypt",Full Time,On-site
42,Senior Data Scientist – NLP & LLM Applications,"Maadi, Cairo, Egypt",Full Time,Hybrid
43,Data Analyst,"Cairo, Egypt",Full Time,Hybrid
44,Data Analyst,"Cairo, Egypt",Full Time,On-site
45,Data Entry Specialist,"Cairo, Egypt",Full Time,On-site
46,Customer Support and Data Entry Specialist,"New Cairo, Cairo, Egypt",Full Time,Remote
47,Data Entry Clerk,"Badr City, Cairo, Egypt",Full Time,On-site
48,Medical Inquiries and Data Management Officer,"Mohandessin, Giza, Egypt",Full Time,Remote
49,Data Entry Clerk,"Ras Albar, Damietta, Egypt",Full Time,On-site
50,AI Engineer,"Cairo, Egypt",Full Time,Remote
51,ERP Analyst,"San Stefano, Alexandria, Egypt",Full Time,On-site
52,Inventory Controller,"Red Sea, Egypt",Full Time,On-site
53,Production Manager,"Alsadat City, Monufya, Egypt",Full Time,On-site
54,Demand Planner,"10th of Ramadan City, Sharqia, Egypt",Full Time,On-site
55,Key Account Manager - FMCG,"Cairo, Egypt",Full Time,On-site
56,Quality Manager,"Bourj Alarab, Alexandria, Egypt",Full Time,On-site
57,Oracle (Backend / Database Developer),"Nasr City, Cairo, Egypt",Full Time,Hybrid
58,CEO Personal Assistant,"Nasr City, Cairo, Egypt",Full Time,On-site
59,data entry tourism,"New Cairo, Cairo, Egypt",Full Time,On-site
60,Back Office Agent,"Cairo, Egypt",Full Time,On-site
61,Researcher for Action Research,"Cairo, Egypt",Full Time,Hybrid
62,Senior AI Engineer,"Maadi, Cairo, Egypt",Full Time,On-site
63,Data Analyst,"Cairo, Egypt",Full Time,Hybrid
64,Quality Engineer (PQC SMT),"6th of October, Giza, Egypt",Full Time,On-site
65,Telecom BSS/OSS Delivery Manager,"New Cairo, Cairo, Egypt",Full Time,Hybrid
66,Accountant,"Mokattam, Cairo, Egypt",Full Time,On-site
67,Talent Management Specialist,"Smouha, Alexandria, Egypt",Full Time,On-site
68,Purchasing Manager Spare Parts,"Sheikh Zayed, Giza, Egypt",Full Time,On-site
69,Senior Operations Specialist & Operations Team Leader,"Cairo, Egypt",Full Time,On-site
70,Administrative Assistant intern,"Alibrahimiyyah, Alexandria, Egypt",Internship,On-site
71,Store Keeper,"6th of October, Giza, Egypt",Full Time,On-site
72,Cost Accountant,"Nasr City, Cairo, Egypt",Full Time,On-site
73,Senior Media Buyer,"Heliopolis, Cairo, Egypt",Full Time,On-site
74,Accounts Payable Supervisor,"New Cairo, Cairo, Egypt",Full Time,On-site
75,Digital Marketing Executive,"New Nozha, Cairo, Egypt",Full Time,On-site
76,Procurement Specialist,"Haram, Giza, Egypt",Full Time,On-site
77,Database Administrator,"New Cairo, Cairo, Egypt",Full Time,Hybrid
78,HR Coordinator,"6th of October, Giza, Egypt",Full Time,On-site
79,Material Control Engineer,"6th of October, Giza, Egypt",Full Time,On-site
80,Account Manager,"Cairo, Egypt",Full Time,On-site
81,Logistics Manager (Stationery),"Maadi, Cairo, Egypt",Full Time,On-site
82,Digital Marketing Specialist,"New Cairo, Cairo, Egypt",Full Time,On-site
83,Customer Success Specialist,"Cairo, Egypt",Full Time,Remote
84,Quality Assurance Specialist,"10th of Ramadan City, Sharqia, Egypt",Full Time,On-site
85,Accounting Manager,"Nasr City, Cairo, Egypt",Full Time,On-site
86,Media Buyer for Canadian Law Firm (Full time),"Vancouver, Canada",Full Time,Remote
87,Inside Sales and Logistics Specialist (Manufacturing),"Maadi, Cairo, Egypt",Full Time,On-site
88,Financial Analyst,"New Cairo, Cairo, Egypt",Full Time,On-site
89,Production Manager – Detergents Industry,"Nasr City, Cairo, Egypt",Full Time,On-site
90,Purchasing Representative,"10th of Ramadan City, Sharqia, Egypt",Full Time,On-site
91,Planning Supervisor,"Sharqia, Egypt",Full Time,On-site
92,Marketing Specialist / Hurghada,"Hurghada, Red Sea, Egypt",Full Time,On-site
93,Quality Assurance Specialist ( Call Center Background ),"Nasr City, Cairo, Egypt",Full Time,On-site
94,Project Control Section Head,"Agouza, Giza, Egypt",Full Time,On-site
95,Surveying Technician (Surveyor),"Cairo, Egypt",Full Time,On-site
96,Electrical Engineer (low Current),"Nasr City, Cairo, Egypt",Full Time,On-site
97,"Financial Analyst, Corporate Finance & Strategy","Katameya, Cairo, Egypt",Full Time,On-site
98,AI agent software development,"Riyadh, Saudi Arabia",Internship,Remote
99,Commercial Specialist (Data Analyst),"Nasr City, Cairo, Egypt",Full Time,On-site
100,Procurement Specialist,"Nasr City, Cairo, Egypt",Full Time,On-site
101,Store Keeper,"6th of October, Giza, Egypt",Full Time,On-site
102,Admin Assistant,"New Cairo, Cairo, Egypt",Full Time,On-site
103,Commercial Manager,"Port Said, Egypt",Full Time,On-site
104,Billing Officer ( Non Medical ),"Heliopolis, Cairo, Egypt",Full Time,On-site
105,Audit Manager - Consumer Finance,"Maadi, Cairo, Egypt",Full Time,On-site
106,Mail and Chat (B2 English Speakers) e& UAE,"Maadi, Cairo, Egypt",Full Time,On-site
107,Billing Officer,"Maadi, Cairo, Egypt",Full Time,On-site
108,Senior Cost Accountant,"Nasr City, Cairo, Egypt",Full Time,On-site
109,"Backoffice (Mail and Chat) B2 English Speakers , e&UAE","Maadi, Cairo, Egypt",Full Time,On-site
110,Business Process Analyst,"Cairo, Egypt",Full Time,On-site
111,Senior Marketing Specialist,"Obour City, Cairo, Egypt",Full Time,On-site
112,Digital Marketing Specialist,"Cairo, Egypt",Full Time,On-site
113,MS Dynamics F&O Technical Consultant,"Cairo, Egypt",Full Time,On-site
114,Fleet Manager,"Dokki, Giza, Egypt",Full Time,On-site
115,Senior Export Operations,"6th of October, Giza, Egypt",Full Time,On-site
116,Warehouse Corporate Manager,"Ameria, Alexandria, Egypt",Full Time,On-site
117,E-Commerce Specialist,"Heliopolis, Cairo, Egypt",Full Time,On-site
118,"Mail&Chat (Backoffice B2 English Speakers) E&UAE ,Grads","Maadi, Cairo, Egypt",Full Time,On-site
119,Planning Engineer,"Giza, Egypt",Full Time,On-site
