date,tournament,round,team1,team2,score,time
10/04/2025,الدوري المصري,الأسبوع العاشر,الزمالك,غزل المحلة,1-1,17:00
10/04/2025,الدوري المصري,الأسبوع العاشر,طلائع الجيش,الجونة,0-1,17:00
10/04/2025,الدوري المصري,الأسبوع العاشر,حرس الحدود,سيراميكا كليوباترا,0-3,20:00
10/04/2025,الدوري المصري,الأسبوع العاشر,كهرباء الإسماعيلية,الأهلي,2-4,20:00
10/04/2025,كأس العالم تحت 20 عاما,الجولة الثالثة,مصر - شباب,تشيلي - شباب,2-1,02:00
10/04/2025,كأس العالم تحت 20 عاما,الجولة الثالثة,نيوزيلندا - شباب,اليابان - شباب,0-3,02:00
10/04/2025,كأس العالم تحت 20 عاما,الجولة الثالثة,إسبانيا - شباب,البرازيل - شباب,1-0,23:00
10/04/2025,كأس العالم تحت 20 عاما,الجولة الثالثة,المكسيك - شباب,المغرب - الشباب,1-0,23:00
10/04/2025,الدوري الإنجليزي,الأسبوع السابع,ليدز يونايتد,توتنهام هوتسبر,1-2,14:30
10/04/2025,الدوري الإنجليزي,الأسبوع السابع,أرسنال,وست هام يونايتد,2-0,17:00
10/04/2025,الدوري الإنجليزي,الأسبوع السابع,مانشستر يونايتد,سندرلاند,2-0,17:00
10/04/2025,الدوري الإنجليزي,الأسبوع السابع,تشيلسي,ليفربول,2-1,19:30
10/04/2025,الدوري الإسباني,الأسبوع الثامن,ريال أوفييدو,ليفانتي,0-2,15:00
10/04/2025,الدوري الإسباني,الأسبوع الثامن,جيرونا,فالنسيا,2-1,17:15
10/04/2025,الدوري الإسباني,الأسبوع الثامن,أتلتيك بلباو,مايوركا,2-1,19:30
10/04/2025,الدوري الإسباني,الأسبوع الثامن,ريال مدريد,فياريال,3-1,22:00
10/04/2025,الدوري الإيطالي,الأسبوع السادس,بارما,ليتشي,0-1,16:00
10/04/2025,الدوري الإيطالي,الأسبوع السادس,لاتسيو,تورينو,3-3,16:00
10/04/2025,الدوري الإيطالي,الأسبوع السادس,إنتر ميلان,كريمونيسي,4-1,19:00
10/04/2025,الدوري الإيطالي,الأسبوع السادس,أتالانتا,كومو,1-1,21:45
10/04/2025,الدوري الفرنسي,الأسبوع السابع,ميتز,مارسيليا,0-3,18:00
10/04/2025,الدوري الفرنسي,الأسبوع السابع,بريست,نانت,0-0,20:00
10/04/2025,الدوري الفرنسي,الأسبوع السابع,اوكسير,لانس,1-2,22:05
10/04/2025,الدوري الألماني,الأسبوع السادس,أوجسبورج,فولفسبورج,3-1,16:30
10/04/2025,الدوري الألماني,الأسبوع السادس,فيردر بريمن,سانت باولي,1-0,16:30
10/04/2025,الدوري الألماني,الأسبوع السادس,بروسيا دورتموند,لايبزيج,1-1,16:30
10/04/2025,الدوري الألماني,الأسبوع السادس,باير ليفركوزن,يونيون برلين,2-0,16:30
10/04/2025,الدوري الألماني,الأسبوع السادس,آ. فرانكفورت,بايرن ميونيخ,0-3,19:30
